client_id,name,registered_at,tier_locked,tier_locked_value
C001,Acme Corp,2019-03-15,,
C002,Swiss Trading GmbH,2021-07-22,1,
C003,Northern Exports Ltd,2020-11-08,,
C004,Berlin Financial Services,2018-05-03,,
C005,Prague Logistics,2022-01-17,,
C006,Vienna Capital Partners,2019-09-28,1,
C007,Amsterdam Trade Co,2020-04-11,,
C008,Warsaw Investment Group,2021-12-05,,
C009,Helsinki Currency Exchange,2017-08-14,,
C010,Dublin Forex Ltd,2023-02-20,,
C011,Lisbon Merchants,2019-06-30,,
C012,Madrid Export Services,2020-10-22,,
C013,Rome Trading House,2018-11-15,,
C014,Athens Financial,2022-08-09,,
C015,Brussels Commerce,2021-03-27,,
C016,Copenhagen Exchange,2019-12-01,1,
C017,Stockholm Traders,2020-07-18,,
C018,Oslo Currency Services,2022-05-14,,
C019,Zurich Investments,2018-02-28,,
C020,Luxembourg Finance,2023-04-10,,
